"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"IMF.RES:WEO(9.0.0)","HND.LP.A","OBS_VALUE","Honduras","Population, Persons for countries / Index for country groups","Annual","Millions","3.673","3.790","3.908","4.029","4.154","4.283","4.411","4.544","4.680","4.816","4.955","5.099","5.245","5.394","5.549","5.709","5.875","6.046","6.220","6.397","6.575","6.752","6.929","7.106","7.283","7.459","7.634","7.809","7.981","8.151","8.317","8.481","8.641","8.799","8.956","9.113","9.273","9.436","9.602","9.770","9.942","10.117","10.294","10.475","10.659","10.846","11.037","11.231","11.428","11.629","11.833"
"IMF.RES:WEO(9.0.0)","BHS.LP.A","OBS_VALUE","Bahamas, The","Population, Persons for countries / Index for country groups","Annual","Millions","0.211","0.215","0.220","0.225","0.230","0.234","0.238","0.242","0.247","0.251","0.255","0.259","0.264","0.269","0.273","0.279","0.284","0.288","0.293","0.298","0.304","0.308","0.313","0.318","0.323","0.328","0.332","0.337","0.342","0.347","0.351","0.355","0.359","0.362","0.366","0.370","0.373","0.377","0.381","0.385","0.389","0.394","0.399","0.404","0.408","0.413","0.417","0.421","0.425","0.429","0.434"
"IMF.RES:WEO(9.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Persons for countries / Index for country groups","Annual","Millions","","0.074","0.074","0.073","0.073","0.073","0.072","0.072","0.072","0.072","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.070","0.069","0.070","0.070","0.071","0.071","0.069","0.070","0.072","0.073","0.074","0.074","0.074","0.075","0.075","0.076","0.076","0.076","0.077","0.077"
"IMF.RES:WEO(9.0.0)","PRI.LP.A","OBS_VALUE","Puerto Rico","Population, Persons for countries / Index for country groups","Annual","Millions","3.203","3.229","3.257","3.286","3.317","3.349","3.382","3.417","3.454","3.492","3.528","3.551","3.575","3.600","3.627","3.655","3.685","3.716","3.748","3.782","3.811","3.819","3.824","3.826","3.827","3.821","3.805","3.783","3.761","3.740","3.722","3.679","3.634","3.593","3.535","3.474","3.411","3.300","3.200","3.200","3.159","3.200","3.200","3.206","3.177","3.175","3.174","3.172","3.171","3.169","3.168"
"IMF.RES:WEO(9.0.0)","QAT.LP.A","OBS_VALUE","Qatar","Population, Persons for countries / Index for country groups","Annual","Millions","0.245","0.265","0.285","0.306","0.326","0.345","0.362","0.377","0.392","0.408","0.477","0.485","0.490","0.492","0.495","0.501","0.512","0.529","0.550","0.572","0.594","0.612","0.630","0.660","0.720","0.821","0.968","1.152","1.554","1.639","1.715","1.733","1.833","2.004","2.216","2.438","2.618","2.725","2.760","2.799","2.834","2.748","2.932","3.063","3.094","3.109","3.125","3.140","3.156","3.172","3.188"
"IMF.RES:WEO(9.0.0)","LKA.LP.A","OBS_VALUE","Sri Lanka","Population, Persons for countries / Index for country groups","Annual","Millions","15.553","15.763","15.962","16.148","16.322","16.482","16.645","16.811","16.980","17.151","17.326","17.536","17.737","17.925","18.094","18.243","18.367","18.471","18.565","18.663","18.778","18.912","19.062","19.224","19.387","19.545","19.696","19.842","19.984","20.124","20.262","20.398","20.425","20.585","20.778","20.970","21.203","21.444","21.670","21.803","21.919","22.156","22.396","22.638","22.882","","","","","",""
"IMF.RES:WEO(9.0.0)","SLE.LP.A","OBS_VALUE","Sierra Leone","Population, Persons for countries / Index for country groups","Annual","Millions","3.547","3.634","3.710","3.797","3.819","3.895","3.982","4.069","4.157","4.254","4.320","4.349","4.348","4.329","4.310","4.304","4.313","4.335","4.381","4.462","4.585","4.754","4.971","5.178","5.356","5.502","5.624","5.749","5.895","6.056","6.223","6.387","6.551","6.714","6.876","7.038","7.205","7.379","7.555","7.732","7.913","8.095","8.277","8.461","8.642","8.820","9.002","9.187","9.377","9.570","9.767"
"IMF.RES:WEO(9.0.0)","TON.LP.A","OBS_VALUE","Tonga","Population, Persons for countries / Index for country groups","Annual","Millions","0.092","0.093","0.093","0.094","0.095","0.095","0.094","0.094","0.095","0.095","0.096","0.096","0.097","0.097","0.097","0.097","0.098","0.098","0.098","0.099","0.099","0.100","0.100","0.100","0.101","0.101","0.102","0.102","0.102","0.103","0.103","0.103","0.103","0.102","0.102","0.101","0.101","0.101","0.100","0.100","0.100","0.100","0.100","0.100","0.099","0.099","0.099","0.099","0.098","0.098","0.098"
"IMF.RES:WEO(9.0.0)","SVK.NGDP_R.A","OBS_VALUE","Slovak Republic","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","","35.385","37.581","40.539","43.353","45.280","47.012","46.790","47.159","48.538","50.682","53.144","56.008","59.640","64.963","71.992","75.853","71.677","76.544","78.506","79.738","80.298","82.473","86.742","88.432","90.974","94.669","96.824","94.321","99.697","100.133","102.304","104.413","105.363","107.107","109.782","112.569","115.002","117.371"
"IMF.RES:WEO(9.0.0)","MNE.LP.A","OBS_VALUE","Montenegro","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","0.605","0.607","0.610","0.612","0.613","0.614","0.615","0.616","0.617","0.618","0.619","0.620","0.621","0.623","0.624","0.625","0.625","0.626","0.626","0.627","0.627","0.625","0.624","0.624","0.624","0.624","0.624","0.625","0.625","0.625","0.626"
"IMF.RES:WEO(9.0.0)","SRB.LP.A","OBS_VALUE","Serbia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","7.540","7.516","7.503","7.500","7.481","7.463","7.441","7.412","7.382","7.350","7.321","7.291","7.237","7.201","7.167","7.132","7.095","7.058","7.021","6.983","6.945","6.899","6.834","6.664","6.623","6.576","6.530","6.483","6.437","6.389","6.342","6.294"
"IMF.RES:WEO(9.0.0)","USA.LP.A","OBS_VALUE","United States","Population, Persons for countries / Index for country groups","Annual","Millions","227.622","229.916","232.128","234.246","236.307","238.416","240.593","242.751","244.968","247.286","250.047","253.392","256.777","260.146","263.325","266.458","269.581","272.822","276.022","279.195","282.296","285.216","288.019","290.733","293.389","296.115","298.930","301.903","304.718","307.374","309.737","311.944","314.167","316.331","318.619","320.926","323.221","325.280","327.023","328.547","331.307","332.453","334.273","337.014","340.102","341.698","342.594","344.099","345.606","347.236","348.955"
"IMF.RES:WEO(9.0.0)","G110.BM.A","OBS_VALUE","Advanced Economies","Imports of goods and services, US dollar","Annual","Billions","","","","","","","","","","","","","","","","","4845.452","4981.716","5024.289","5514.621","6124.526","5893.063","6088.493","6980.044","8337.029","9301.743","10484.757","11846.090","13249.065","10426.965","12112.390","14142.817","14054.996","14276.028","14617.179","13125.382","12981.896","14139.749","15471.838","15300.680","13855.313","16837.305","19172.606","18735.254","19214.128","20309.700","20947.191","21571.803","22285.212","23072.160","23891.689"
