"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","G110.TM_RPCH.A","OBS_VALUE","Advanced Economies","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","4.733","3.755","1.990","-8.178","10.170","7.357","-0.730","2.104","3.075","1.279"
"IMF.RES:WEO(9.0.0)","G110.TX_RPCH.A","OBS_VALUE","Advanced Economies","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","4.794","3.429","1.440","-8.710","9.705","5.971","0.915","1.839","2.071","1.663"
"IMF.RES:WEO(9.0.0)","USA.TM_RPCH.A","OBS_VALUE","United States","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","4.710","4.038","1.176","-8.823","14.569","8.466","-0.864","5.769","3.503","-1.849"
"IMF.RES:WEO(9.0.0)","USA.TX_RPCH.A","OBS_VALUE","United States","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","4.115","2.854","0.533","-12.623","6.459","7.613","2.790","3.643","1.109","0.455"
"IMF.RES:WEO(9.0.0)","GBR.TX_RPCH.A","OBS_VALUE","United Kingdom","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","6.766","3.079","2.001","-11.792","3.230","12.568","-0.418","-1.162","0.798","1.201"
"IMF.RES:WEO(9.0.0)","GBR.TM_RPCH.A","OBS_VALUE","United Kingdom","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","3.163","3.097","2.720","-15.885","5.810","12.983","-1.231","2.689","1.971","1.424"
"IMF.RES:WEO(9.0.0)","JPN.TM_RPCH.A","OBS_VALUE","Japan","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","3.307","3.814","0.988","-6.763","5.206","8.255","-0.848","0.972","3.635","1.844"
"IMF.RES:WEO(9.0.0)","G163.TM_RPCH.A","OBS_VALUE","Euro Area (EA)","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","4.950","3.723","4.624","-8.352","8.981","8.224","-1.573","-0.728","2.331","1.776"
"IMF.RES:WEO(9.0.0)","JPN.TX_RPCH.A","OBS_VALUE","Japan","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","6.619","3.760","-1.458","-11.637","11.907","5.546","3.268","1.124","2.927","0.943"
"IMF.RES:WEO(9.0.0)","G163.TX_RPCH.A","OBS_VALUE","Euro Area (EA)","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","5.423","3.278","2.976","-9.097","11.298","7.340","-0.868","0.265","1.248","1.305"
"IMF.RES:WEO(9.0.0)","G200.TM_RPCH.A","OBS_VALUE","Emerging Market and Developing Economies","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","7.015","5.228","-0.541","-9.520","12.079","4.039","3.682","5.564","4.343","3.993"
"IMF.RES:WEO(9.0.0)","G200.TX_RPCH.A","OBS_VALUE","Emerging Market and Developing Economies","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","6.242","4.143","0.683","-6.598","12.709","4.610","1.357","6.524","5.928","3.278"
"IMF.RES:WEO(9.0.0)","G205.TM_RPCH.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","5.029","4.202","-1.224","-12.124","18.344","7.195","1.469","3.194","4.982","2.223"
"IMF.RES:WEO(9.0.0)","BRA.TX_RPCH.A","OBS_VALUE","Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","4.785","3.416","-1.676","-1.338","2.275","6.113","9.444","-0.329","3.000","2.500"
"IMF.RES:WEO(9.0.0)","BRA.TM_RPCH.A","OBS_VALUE","Brazil","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","7.757","6.976","3.738","-8.468","16.744","0.700","0.802","10.039","4.223","0.740"
"IMF.RES:WEO(9.0.0)","MEX.TM_RPCH.A","OBS_VALUE","Mexico","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","5.649","5.604","-1.081","-11.991","15.748","8.627","3.674","2.759","1.626","2.605"
"IMF.RES:WEO(9.0.0)","MEX.TX_RPCH.A","OBS_VALUE","Mexico","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","3.198","6.527","1.164","-7.019","7.086","9.506","-7.235","3.327","6.590","0.986"
"IMF.RES:WEO(9.0.0)","IND.TX_RPCH.A","OBS_VALUE","India","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","10.111","4.842","-1.991","-6.380","19.501","9.475","0.498","5.395","1.347","2.187"
