Periodo,Exportaciones,Importaciones,Saldo
2023
Enero,42609.734000000000,46739.068000000000,-4129.334000000000
Febrero,44891.180000000000,46877.022000000000,-1985.843000000000
Marzo,53564.189000000000,52403.727000000000,1160.462000000000
Abril,46086.560000000000,47732.749000000000,-1646.189000000000
Mayo,52835.329000000000,53029.653000000000,-194.323000000000
Junio,51820.219000000000,52006.715000000000,-186.496000000000
Julio,47786.853000000000,48627.636000000000,-840.783000000000
Agosto,52458.590000000000,54575.454000000000,-2116.863000000000
Septiembre,49642.255000000000,52303.579000000000,-2661.324000000000
Octubre,51856.871000000000,53663.090000000000,-1806.219000000000
Noviembre,50171.872000000000,50942.410000000000,-770.538000000000
Diciembre,49277.811000000000,46378.863000000000,2898.948000000000
2024
Enero,42135.801000000000,47219.837000000000,-5084.036000000000
Febrero,50794.819000000000,52224.739000000000,-1429.919000000000
Marzo,50645.665000000000,49111.325000000000,1534.341000000000
Abril,51522.649000000000,55943.361000000000,-4420.712000000000
Mayo,55754.041000000000,54863.065000000000,890.976000000000
Junio,48824.268000000000,51230.591000000000,-2406.323000000000
Julio,54550.711000000000,55771.222000000000,-1220.512000000000
Agosto,51902.528000000000,57747.196000000000,-5844.668000000000
Septiembre,49629.743000000000,51120.789000000000,-1491.046000000000
Octubre,57897.710000000000,58109.034000000000,-211.324000000000
Noviembre,52264.794000000000,52971.031000000000,-706.237000000000
Diciembre,51754.359000000000,49905.838000000000,1848.521000000000
2025
Enero  R,44398.267000000000,49611.476000000000,-5213.208000000000
Febrero,49098.535000000000,47444.307000000000,1654.228000000000
Marzo,55404.972000000000,52115.201000000000,3289.771000000000
Abril,54347.764000000000,54392.226000000000,-44.462000000000
Mayo,55476.735000000000,54244.911000000000,1231.824000000000
Junio,54001.827000000000,53487.398000000000,514.429000000000
Julio,56707.774000000000,56724.468000000000,-16.694000000000
Agosto,55718.184000000000,57662.068000000000,-1943.884000000000
Septiembre,56487.938000000000,58887.475000000000,-2399.538000000000
Octubre,66132.551000000000,65526.483000000000,606.068000000000
Noviembre,56411.894000000000,55749.102000000000,662.792000000000
Diciembre,60650.727000000000,58221.107000000000,2429.620000000000
"Nota:La suma de las cifras parciales puede no coincidir con el total debido al redondeo.    En el marco del Comité Técnico Especializado de Estadísticas de Comercio Exterior (CTE-ECE), conformado por INEGI, Banco de México, Secretaría de Economía y el Servicio de Administración Tributaria, y, como resultado del proceso de revisión de la información publicada, se realizaron ajustes a las cifras de comercio exterior de distintos periodos. Las principales revisiones correspondieron a los datos de importaciones de productos petroleros (comprendidas entre enero de 2022 y mayo de 2025); a las cifras de exportaciones de petróleo crudo (entre enero de 2022 y mayo de 2025); y a la información de exportaciones de bienes agropecuarios (entre abril de 2024 y abril de 2025). En el caso de las importaciones de productos petroleros, las revisiones a la estadística reflejaron las modificaciones extraordinarias a los pedimentos aduanales históricos sustentadas en la “Ley de la Empresa Pública del Estado, Petróleos Mexicanos”, publicada en el Diario Oficial de la Federación el 18 de marzo de 2025. La información histórica revisada de la balanza comercial se encuentra disponible en la página de internet del INEGI. Por lo anterior, la información del periodo 2022-2024 se presenta con el estatus de cifras ajustadas. R Cifras revisada a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Lunes, 9 de Febrero de 2026"
