Periodo,Total,Hombres,Mujeres
2023
Enero,3.583733140055,3.672160406834,3.391255709668
Febrero,3.482886106935,3.209332641298,3.601176378081
Marzo,3.408747678259,3.656877389453,2.939269720331
Abril,3.638184775594,3.890094774249,3.446541067406
Mayo,3.405938443554,3.306000982993,3.540741604129
Junio,3.145151435979,3.281654736993,3.001695779123
Julio,3.415688505154,3.602476782711,3.187951605491
Agosto,3.309923481714,3.474310471364,3.132466103836
Septiembre,3.317400859886,3.361354282254,3.252755996305
Octubre,3.379206014520,3.490138897744,3.328399176862
Noviembre,3.360890604046,3.347124070472,3.385047141507
Diciembre,3.358955717361,3.331595042411,3.419825716666
2024
Enero,3.353424055599,3.289415919496,3.427072737290
Febrero,3.285389969366,3.185977344538,3.232589773264
Marzo,3.447022262764,3.340041269913,3.434652162988
Abril,3.118386679389,3.055050693989,3.285876661763
Mayo,3.291684828981,3.657498820516,2.844835935209
Junio,3.446040236408,3.435193067478,3.407271700731
Julio,3.295816914734,3.416820393229,3.174589583043
Agosto,3.192792503505,3.023674163136,3.489940183509
Septiembre,3.176198974933,3.174293083630,3.173920796926
Octubre,2.878478443163,2.779383601118,3.102456059032
Noviembre,3.031684623918,2.962880574208,3.138508623840
Diciembre,3.064249628596,3.189726290871,2.882411208738
2025
Enero,3.138966902471,3.158426735931,3.146664490871
Febrero,3.133184285583,3.299205707137,2.760801201403
Marzo,2.914945306838,2.624933715507,3.158307474104
Abril,3.167598771685,3.186966322442,3.199210093738
Mayo,3.152242940647,3.121827214560,3.161431518818
Junio,3.131977473322,3.104763444692,3.149463124141
Julio,2.866265981024,2.770549498226,3.099428012511
Agosto,3.177219088140,3.407599426352,2.943705702225
Septiembre,3.460686610206,3.312782872534,3.647768605022
Octubre,3.050244394126,3.158818822801,2.960856847908
Noviembre,3.181449165809,3.296134236246,3.083063895773
Diciembre,2.949694644027,2.758261778133,3.194387577210
"Fuente:    INEGI. Series calculadas por métodos econométricos a partir de la Encuesta Nacional de Ocupación y Empleo    Fecha de actualización: Lunes, 26 de Enero de 2026"
