Periodo,Total,Bienes de consumo,Bienes de uso intermedio,Bienes de capital
2023
Enero,42609.734000000000,10368.557000000000,18200.542000000000,14040.635000000000
Febrero,44891.180000000000,11108.234000000000,19655.050000000000,14127.895000000000
Marzo,53564.189000000000,13448.731000000000,23351.312000000000,16764.145000000000
Abril,46086.560000000000,10486.857000000000,20065.062000000000,15534.641000000000
Mayo,52835.329000000000,13575.548000000000,22721.893000000000,16537.888000000000
Junio,51820.219000000000,13103.027000000000,22536.048000000000,16181.145000000000
Julio,47786.853000000000,12238.414000000000,20175.620000000000,15372.818000000000
Agosto,52458.590000000000,12668.673000000000,23422.874000000000,16367.044000000000
Septiembre,49642.255000000000,13411.435000000000,21657.455000000000,14573.365000000000
Octubre,51856.871000000000,13409.223000000000,21810.300000000000,16637.347000000000
Noviembre,50171.872000000000,13105.862000000000,20681.060000000000,16384.950000000000
Diciembre,49277.811000000000,12801.327000000000,20542.862000000000,15933.622000000000
2024
Enero,42135.801000000000,10825.531000000000,18255.464000000000,13054.805000000000
Febrero,50794.819000000000,13170.447000000000,21490.387000000000,16133.986000000000
Marzo,50645.665000000000,12961.871000000000,21492.799000000000,16190.995000000000
Abril,51522.649000000000,12936.376000000000,21788.265000000000,16798.007000000000
Mayo,55754.041000000000,13797.547000000000,23908.149000000000,18048.346000000000
Junio,48824.268000000000,12377.115000000000,20716.520000000000,15730.632000000000
Julio,54550.711000000000,13289.960000000000,22133.638000000000,19127.113000000000
Agosto,51902.528000000000,12821.411000000000,22157.916000000000,16923.201000000000
Septiembre,49629.743000000000,12302.240000000000,20631.282000000000,16696.221000000000
Octubre,57897.710000000000,15237.846000000000,23784.219000000000,18875.646000000000
Noviembre,52264.794000000000,13405.859000000000,21747.539000000000,17111.396000000000
Diciembre,51754.359000000000,13825.686000000000,20986.837000000000,16941.837000000000
2025
Enero  R,44398.267000000000,11545.345000000000,18585.037000000000,14267.886000000000
Febrero,49098.535000000000,11762.552000000000,20571.049000000000,16764.934000000000
Marzo,55404.972000000000,12949.576000000000,22194.524000000000,20260.872000000000
Abril,54347.764000000000,12197.060000000000,22378.004000000000,19772.700000000000
Mayo,55476.735000000000,12542.231000000000,22000.045000000000,20934.459000000000
Junio,54001.827000000000,12959.924000000000,20810.561000000000,20231.342000000000
Julio,56707.774000000000,13489.878000000000,22181.761000000000,21036.134000000000
Agosto,55718.184000000000,12333.819000000000,21606.849000000000,21777.517000000000
Septiembre,56487.938000000000,12327.039000000000,22319.039000000000,21841.860000000000
Octubre,66132.551000000000,12867.737000000000,24851.577000000000,28413.236000000000
Noviembre,56411.894000000000,12890.906000000000,19892.331000000000,23628.657000000000
Diciembre,60650.727000000000,12825.708000000000,22958.945000000000,24866.075000000000
"Nota:La suma de las cifras parciales puede no coincidir con el total debido al redondeo.    En el marco del Comité Técnico Especializado de Estadísticas de Comercio Exterior (CTE-ECE), conformado por INEGI, Banco de México, Secretaría de Economía y el Servicio de Administración Tributaria, y, como resultado del proceso de revisión de la información publicada, se realizaron ajustes a las cifras de comercio exterior de distintos periodos. Las principales revisiones correspondieron a los datos de importaciones de productos petroleros (comprendidas entre enero de 2022 y mayo de 2025); a las cifras de exportaciones de petróleo crudo (entre enero de 2022 y mayo de 2025); y a la información de exportaciones de bienes agropecuarios (entre abril de 2024 y abril de 2025). En el caso de las importaciones de productos petroleros, las revisiones a la estadística reflejaron las modificaciones extraordinarias a los pedimentos aduanales históricos sustentadas en la “Ley de la Empresa Pública del Estado, Petróleos Mexicanos”, publicada en el Diario Oficial de la Federación el 18 de marzo de 2025. La información histórica revisada de la balanza comercial se encuentra disponible en la página de internet del INEGI. Por lo anterior, la información del periodo 2022-2024 se presenta con el estatus de cifras ajustadas. R Cifras revisada a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Lunes, 9 de Febrero de 2026"
