Periodo,Total,Bienes de consumo,Bienes de uso intermedio,Bienes de capital
2023
Enero,46739.068000000000,7048.071000000000,35576.910000000000,4114.087000000000
Febrero,46877.022000000000,6332.034000000000,36369.238000000000,4175.751000000000
Marzo,52403.727000000000,7419.845000000000,40061.365000000000,4922.517000000000
Abril,47732.749000000000,6571.086000000000,36764.591000000000,4397.073000000000
Mayo,53029.653000000000,7683.353000000000,40344.602000000000,5001.698000000000
Junio,52006.715000000000,7208.532000000000,39665.135000000000,5133.049000000000
Julio,48627.636000000000,6982.960000000000,36849.693000000000,4794.982000000000
Agosto,54575.454000000000,8852.459000000000,40518.033000000000,5204.961000000000
Septiembre,52303.579000000000,8978.689000000000,38334.541000000000,4990.349000000000
Octubre,53663.090000000000,9017.975000000000,39504.678000000000,5140.437000000000
Noviembre,50942.410000000000,8497.345000000000,37375.541000000000,5069.524000000000
Diciembre,46378.863000000000,7896.202000000000,33575.541000000000,4907.120000000000
2024
Enero,47219.837000000000,7846.780000000000,34368.821000000000,5004.236000000000
Febrero,52224.739000000000,7794.486000000000,39465.479000000000,4964.774000000000
Marzo,49111.325000000000,7985.020000000000,36420.434000000000,4705.871000000000
Abril,55943.361000000000,8797.923000000000,41319.872000000000,5825.565000000000
Mayo,54863.065000000000,8597.279000000000,40864.437000000000,5401.349000000000
Junio,51230.591000000000,7615.700000000000,38770.602000000000,4844.289000000000
Julio,55771.222000000000,8644.132000000000,41913.746000000000,5213.345000000000
Agosto,57747.196000000000,8903.712000000000,43772.878000000000,5070.606000000000
Septiembre,51120.789000000000,8349.663000000000,38003.760000000000,4767.365000000000
Octubre,58109.034000000000,8907.396000000000,43764.813000000000,5436.825000000000
Noviembre,52971.031000000000,8231.790000000000,39502.415000000000,5236.825000000000
Diciembre,49905.838000000000,7592.326000000000,37209.201000000000,5104.311000000000
2025
Enero  R,49611.476000000000,7266.954000000000,37764.191000000000,4580.330000000000
Febrero,47444.307000000000,6707.055000000000,36363.616000000000,4373.636000000000
Marzo,52115.201000000000,7060.160000000000,40409.526000000000,4645.515000000000
Abril,54392.226000000000,7895.420000000000,41765.753000000000,4731.053000000000
Mayo,54244.911000000000,7799.350000000000,41853.815000000000,4591.746000000000
Junio,53487.398000000000,7603.976000000000,41445.839000000000,4437.583000000000
Julio,56724.468000000000,8680.373000000000,42942.772000000000,5101.323000000000
Agosto,57662.068000000000,8387.740000000000,44578.926000000000,4695.402000000000
Septiembre,58887.475000000000,8813.984000000000,45458.087000000000,4615.404000000000
Octubre,65526.483000000000,9859.781000000000,50630.041000000000,5036.661000000000
Noviembre,55749.102000000000,8436.539000000000,42948.556000000000,4364.006000000000
Diciembre,58221.107000000000,9509.626000000000,43639.437000000000,5072.044000000000
"Nota:La suma de las cifras parciales puede no coincidir con el total debido al redondeo.    En el marco del Comité Técnico Especializado de Estadísticas de Comercio Exterior (CTE-ECE), conformado por INEGI, Banco de México, Secretaría de Economía y el Servicio de Administración Tributaria, y, como resultado del proceso de revisión de la información publicada, se realizaron ajustes a las cifras de comercio exterior de distintos periodos. Las principales revisiones correspondieron a los datos de importaciones de productos petroleros (comprendidas entre enero de 2022 y mayo de 2025); a las cifras de exportaciones de petróleo crudo (entre enero de 2022 y mayo de 2025); y a la información de exportaciones de bienes agropecuarios (entre abril de 2024 y abril de 2025). En el caso de las importaciones de productos petroleros, las revisiones a la estadística reflejaron las modificaciones extraordinarias a los pedimentos aduanales históricos sustentadas en la “Ley de la Empresa Pública del Estado, Petróleos Mexicanos”, publicada en el Diario Oficial de la Federación el 18 de marzo de 2025. La información histórica revisada de la balanza comercial se encuentra disponible en la página de internet del INEGI. Por lo anterior, la información del periodo 2022-2024 se presenta con el estatus de cifras ajustadas. R Cifras revisada a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Lunes, 9 de Febrero de 2026"
