Periodo,Total,Hombres,Mujeres
2022
I,28.352003928654,27.847164860124,29.128123710650
II,28.603820711832,28.095084472958,29.345472613725
III,28.215776183451,27.727030035663,28.968702640637
IV,28.084854636731,27.354883090589,29.158971832961
2023
I,28.281736707739,27.672999294501,29.193406929695
II,28.198135486672,27.527080064634,29.154492071472
III,28.263513305749,27.623464687199,29.209936954389
IV,28.224598298313,27.725835108002,28.950592329525
2024
I,27.898835888760,27.460306941439,28.545013026858
II,28.105349486392,27.736163071666,28.623176277282
III,28.115190246382,27.636783892003,28.812756923252
IV,28.565956082593,28.156203740209,29.149301065274
2025
I,28.856643963180,28.313979196149,29.652247641114
II,28.993245086028,28.524502804498,29.661919481061
III,29.502184063071,29.181700901155,29.968184697744
"Fuente:    INEGI. Series calculadas por métodos econométricos a partir de la Encuesta Nacional de Ocupación y Empleo    Fecha de actualización: Miércoles, 26 de Noviembre de 2025"
