fecha,SF282,SF3338,SF3270,SF3367,SF17858,SF17859,SF18607,SF17806,SF17807,SF17808,SF46997,SF46998,SF17990,SF18608,SF33229,SF30057,SF41841,SF60719,SF64840,SF18605,SF26717,SF98792,SF33230,SF98793,SF42852,SF221660,SF221661,SF4830,SF4831,SF4832,SF4842,SF17861,SF17862,SF18609,SF18606,SF26718,SF33231,SF221662,SF221663,SF17802,SF17803,SF17804
1978-01-01,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,
1978-02-01,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85,,,,,,,,,,,,,
1978-03-01,,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,,,,,,,,,,,,,
1978-04-01,,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,,,,,,,,,,,,,
1978-05-01,,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58,,,,,,,,,,,,,
1978-06-01,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82,,,,,,,,,,,,,
1978-07-01,,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15,,,,,,,,,,,,,
1978-08-01,,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48,,,,,,,,,,,,,
1978-09-01,,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,,,,,,,,,,,,,
1978-10-01,,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,
1978-11-01,,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,
1978-12-01,,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,,,,,,,
1979-01-01,,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46,,,,,,,,,,,,,
1979-02-01,,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,
1979-03-01,,13.97,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,,,,,,,,,,,,,
1979-04-01,,14.07,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,,,,,,,,,,,,,
1979-05-01,,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34,,,,,,,,,,,,,
1979-06-01,,14.49,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49,,,,,,,,,,,,,
1979-07-01,,14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,,,,,,,,,,,,,
1979-08-01,,15.37,,,,,,,,,,,,,,,,,,,,,,,,,,,15.42,,,,,,,,,,,,,
1979-09-01,,15.61,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,
1979-10-01,,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02,,,,,,,,,,,,,
1979-11-01,,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92,,,,,,,,,,,,,
1979-12-01,,17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95,,,,,,,,,,,,,
1980-01-01,,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78,,,,,,,,,,,,,
1980-02-01,,19.46,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,,,,,,,,,,,,,
1980-03-01,,21.52,,,,,,,,,,,,,,,,,,,,,,,,,,,21.56,,,,,,,,,,,,,
1980-04-01,,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,22.44,,,,,,,,,,,,,
1980-05-01,,22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38,,,,,,,,,,,,,
1980-06-01,,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54,,,,,,,,,,,,,
1980-07-01,,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,20.93,,,,,,,,,,,,,
1980-08-01,,21.54,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65,,,,,,,,,,,,,
1980-09-01,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,23.34,,,,,,,,,,,,,
1980-10-01,,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93,,,,,,,,,,,,,
1980-11-01,,25.94,,,,,,,,,,,,,,,,,,,,,,,,,,,26.02,,,,,,,,,,,,,
1980-12-01,,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,
1981-01-01,,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93,,,,,,,,,,,,,
1981-02-01,,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,28.84,,,,,,,,,,,,,
1981-03-01,,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,28.69,,,,,,,,,,,,,
1981-04-01,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,28.38,,,,,,,,,,,,,
1981-05-01,,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11,,,,,,,,,,,,,
1981-06-01,,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,28.39,,,,,,,,,,,,,
1981-07-01,,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,,30.78,,,,,,,,,,,,,
1981-08-01,,33.65,,,,,,,,,,,,,,,,,,,,,,,,,,,33.64,,,,,,,,,,,,,
1981-09-01,,33.93,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92,,,,,,,,,,,,,
1981-10-01,,33.82,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78,,,,,,,,,,,,,
1981-11-01,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,33.31,,,,,,,,,,,,,
1981-12-01,,33.34,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36,,,,,,,,,,,,,
1982-01-01,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.25,,,,,,,,,,,,,
1982-02-01,,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.21,,,,,,,,,,,,,
1982-03-01,,35.28,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.24,,,,,,,,,,,,,
