fecha,SF17908,SF17886,SF17887,SF17888,SF17889,SF17892,SF17893,SF17894,SF17895,SF17898,SF17899,SF17900,SF17901
1983-01-01,,,,,,,,,,,,,0.1502
1983-02-01,,,,,,,,,,,,,0.1551
1983-03-01,,,,,,,,,,,,,0.1602
1983-04-01,,,,,,,,,,,,,0.1534
1983-05-01,,,,,,,,,,,,,0.1502
1983-06-01,,,,,,,,,,,,,0.1493
1983-07-01,,,,,,,,,,,,,0.1495
1983-08-01,,,,,,,,,,,,,0.1516
1983-09-01,,,,,,,,,,,,,0.1528
1983-10-01,,,,,,,,,,,,,0.157
1983-11-01,,,,,,,,,,,,,0.1621
1983-12-01,,,,,,,,,,,,,0.1649
1984-01-01,,,,,,,,,,,,,0.166
1984-02-01,,,,,,,,,,,,,0.1686
1984-03-01,,,,,,,,,,,,,0.1728
1984-04-01,,,,,,,,,,,,,0.1793
1984-05-01,,,,,,,,,,,,,0.1987
1984-06-01,,,,,,,,,,,,,0.1969
1984-07-01,,,,,,,,,,,,,0.1959
1984-08-01,,,,,,,,,,,,,0.1965
1984-09-01,,,,,,,,,,,,,0.1971
1984-10-01,,,,,,,,,,,,,0.2024
1984-11-01,,,,,,,,,,,,,0.2099
1984-12-01,,,,,,,,,,,,,0.218
1985-01-01,,,,,,,,,,,,,0.2265
1985-02-01,,,,,,,,,,,,,0.2359
1985-03-01,,,,,,,,,,,,,0.2451
1985-04-01,,,,,,,,,,,,,0.245
1985-05-01,,,,,,,,,,,,,0.2541
1985-06-01,,,,,,,,,,,,,0.293
1985-07-01,,,,,,,,,,,,,0.346
1985-08-01,,,,,,,,,,,,,0.3392
1985-09-01,,,,,,,,,,,,,0.3719
1985-10-01,,,,,,,,,,,,,0.4093
1985-11-01,,,,,,,,,,,,,0.4918
1985-12-01,,,,,,,,,,,,,0.4659
1986-01-01,,,,,,,,,,,,,0.4484
1986-02-01,,,,,,,,,,,,,0.4751
1986-03-01,,,,,,,,,,,,,0.4757
1986-04-01,,,,,,,,,,,,,0.5023
1986-05-01,,,,,,,,,,,,,0.5345
1986-06-01,,,,,,,,,,,,,0.6343
1986-07-01,,,,,,,,,,,,,0.6354
1986-08-01,,,,,,,,,,,,,0.6808
1986-09-01,,,,,,,,,,,,,0.7436
1986-10-01,,,,,,,,,,,,,0.7984
1986-11-01,,,,,,,,,,,,,0.8473
1986-12-01,,,,,,,,,,,,,0.8943
1987-01-01,,,,,,,,,,,,,0.9504
1987-02-01,,,,,,,,,,,,,1.0156
1987-03-01,,,,,,,,,,,,,1.0825
1987-04-01,,,,,,,,,,,,,1.152
1987-05-01,,,,,,,,,,,,,1.2359
1987-06-01,,,,,,,,,,,,,1.3122
1987-07-01,,,,,,,,,,,,,1.3914
1987-08-01,,,,,,,,,,,,,1.4624
1987-09-01,,,,,,,,,,,,,1.5381
1987-10-01,,,,,,,,,,,,,1.6148
1987-11-01,,,,,,,,,,,,,1.9495
1987-12-01,,,,,,,,,,,,,2.3052
1988-01-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2391
1988-02-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2938
1988-03-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2813
1988-04-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2808
1988-05-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2837
1988-06-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2841
1988-07-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2845
1988-08-01,,0.0,0.0,0.0,0.0,,,,,,,,2.284
1988-09-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2845
1988-10-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2845
1988-11-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2845
1988-12-01,,0.0,0.0,0.0,0.0,,,,,,,,2.2845
1989-01-01,,2.2927,2.2937,2.2927,2.2937,,,,,,,,2.2933
1989-02-01,,2.3305,2.3324,2.3307,2.3326,,,,,,,,2.3315
1989-03-01,,2.3717,2.373,2.3717,2.373,,,,,,,,2.3724
1989-04-01,,2.4125,2.4135,2.4125,2.4135,,,,,,,,2.413
1989-05-01,,2.4559,2.4569,2.4559,2.4569,,,,,,,,2.4563
1989-06-01,,2.4896,2.4906,2.4896,2.486,,,,,,,,2.4901
1989-07-01,,2.5154,2.5212,2.5152,2.5162,,,,,,,,2.5207
1989-08-01,,2.5507,2.5518,2.5508,2.5514,,,,,,,,2.5509
1989-09-01,,2.5817,2.5825,2.5817,2.5825,,,,,,,,2.5822
1989-10-01,,2.6123,2.6128,2.6122,2.6127,,,,,,,,2.6125
1989-11-01,,2.6444,2.6449,2.6444,2.6449,,,,,,,,2.6447
1989-12-01,,2.6714,2.6721,2.6708,2.6715,,,,,,,,2.6712
1990-01-01,,2.7075,2.7085,2.7073,2.7083,,,,,,,,2.7022
1990-02-01,,2.7331,2.7341,2.7329,2.7339,,,,,,,,2.7336
1990-03-01,,2.7624,2.7634,2.7624,2.7634,,,,,,,,2.763
1990-04-01,,2.7921,2.7931,2.7918,2.7928,,,,,,,,2.793
1990-05-01,,2.821,2.822,2.8212,2.8222,,,,,,,,2.8218
1990-06-01,,2.845,2.846,2.8451,2.8461,,,,,,,,2.8456
1990-07-01,,2.8666,2.8676,2.866,2.867,,,,,,,,2.8671
1990-08-01,,2.8783,2.8794,2.8784,2.8794,,,,,,,,2.8792
1990-09-01,,2.8892,2.8902,2.8891,2.8901,,,,,,,,2.8926
1990-10-01,,2.9074,2.9084,2.9076,2.9082,,,,,,,,2.9127
1990-11-01,,2.9294,2.9304,2.9295,2.9305,,,,,,,,2.9332
1990-12-01,,2.9419,2.9429,2.9419,2.9429,,,,,,,,2.9456
1991-01-01,0.0,2.9543,2.9554,2.9541,2.9551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9582
1991-02-01,0.0,2.9656,2.9666,2.9652,2.9662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9693
1991-03-01,0.0,2.9772,2.978,2.977,2.9779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9809
1991-04-01,0.0,2.99,2.9905,2.9897,2.9902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9929
1991-05-01,0.0,3.0027,3.0032,3.0022,3.0027,3.004,3.0045,3.0038,3.0043,3.0049,3.0054,3.0052,3.0069
1991-06-01,0.0,3.0209,3.0214,3.0209,3.0214,3.022,3.0225,3.022,3.0225,3.023,3.0235,3.0231,3.0192
1991-07-01,0.0,3.0293,3.0298,3.0285,3.0296,3.0303,3.0308,3.03,3.0305,3.0312,3.0318,3.0312,3.031
1991-08-01,0.0,3.0434,3.0439,3.0426,3.0431,3.0449,3.0454,3.0443,3.0448,3.046,3.0465,3.0457,3.0451
1991-09-01,0.0,3.0526,3.0529,3.0532,3.0537,3.0544,3.0549,3.054,3.0545,3.0555,3.056,3.0553,3.0558
1991-10-01,0.0,3.0655,3.066,3.0648,3.0656,3.0665,3.067,3.0665,3.0665,3.0676,3.0681,3.0678,3.0683
1991-11-01,3.0698,3.0678,3.0685,3.0678,3.0685,3.069,3.0697,3.0682,3.0689,3.0705,3.0712,3.0698,3.0705
1991-12-01,3.07,3.0678,3.0688,3.0696,3.0707,3.0689,3.0699,3.069,3.0702,3.0699,3.0709,3.0702,3.0714
1992-01-01,3.0685,3.0644,3.0655,3.0631,3.0642,3.0656,3.0667,3.0647,3.0658,3.0667,3.0678,3.0659,3.067
1992-02-01,3.0636,3.0596,3.0606,3.0593,3.0603,3.0609,3.0619,3.0599,3.0609,3.0622,3.0632,3.0613,3.0623
1992-03-01,3.0664,3.0656,3.0666,3.0657,3.0667,3.0661,3.0671,3.0657,3.0668,3.0666,3.0676,3.066,3.0672
1992-04-01,3.068,3.0676,3.0687,3.0663,3.0676,3.0685,3.0696,3.0687,3.0701,3.0695,3.0706,3.0694,3.0707
1992-05-01,3.098,3.0932,3.0942,3.0991,3.1004,3.0938,3.0948,3.1011,3.1024,3.0944,3.0954,3.1012,3.1025
1992-06-01,3.1185,3.1164,3.1174,3.116,3.117,3.1173,3.1183,3.1178,3.1188,3.1181,3.1191,3.1185,3.1195
1992-07-01,3.1165,3.1127,3.1137,3.1115,3.1125,3.1139,3.1149,3.1132,3.1142,3.115,3.116,3.1144,3.1154
1992-08-01,3.0913,3.0855,3.0865,3.0837,3.0847,3.0868,3.0878,3.0851,3.0861,3.0881,3.0891,3.0864,3.0874
