

"","PD04713XD"
"","Tasas de interés: EMBIG (variación en pbs) - Spread - EMBIG México (pbs)"
02Ene98,403
05Ene98,422
06Ene98,432
07Ene98,417
08Ene98,425
09Ene98,441
12Ene98,441
13Ene98,435
14Ene98,425
15Ene98,435
16Ene98,421
19Ene98,421
20Ene98,420
21Ene98,433
22Ene98,429
23Ene98,414
26Ene98,419
27Ene98,405
28Ene98,410
29Ene98,403
30Ene98,393
02Feb98,385
03Feb98,382
04Feb98,378
05Feb98,373
06Feb98,369
09Feb98,367
10Feb98,371
11Feb98,375
12Feb98,381
13Feb98,384
16Feb98,384
17Feb98,392
18Feb98,388
19Feb98,394
20Feb98,391
23Feb98,384
24Feb98,381
25Feb98,384
26Feb98,377
27Feb98,377
02Mar98,371
03Mar98,366
04Mar98,366
05Mar98,375
06Mar98,374
09Mar98,386
10Mar98,380
11Mar98,385
12Mar98,389
13Mar98,383
16Mar98,386
17Mar98,388
18Mar98,360
19Mar98,353
20Mar98,355
23Mar98,351
24Mar98,363
25Mar98,368
26Mar98,363
27Mar98,357
30Mar98,364
31Mar98,366
01Abr98,373
02Abr98,382
03Abr98,404
06Abr98,395
07Abr98,380
08Abr98,373
09Abr98,366
10Abr98,366
13Abr98,366
14Abr98,367
15Abr98,370
16Abr98,371
17Abr98,369
20Abr98,370
21Abr98,366
22Abr98,362
23Abr98,364
24Abr98,372
27Abr98,383
28Abr98,381
29Abr98,376
30Abr98,373
01May98,373
04May98,378
05May98,378
06May98,388
07May98,384
08May98,384
11May98,381
12May98,398
13May98,400
14May98,399
15May98,396
18May98,422
19May98,420
20May98,417
21May98,413
22May98,414
25May98,414
26May98,440
27May98,443
28May98,430
29May98,429
01Jun98,440
02Jun98,422
03Jun98,425
04Jun98,416
05Jun98,410
08Jun98,418
09Jun98,420
10Jun98,434
11Jun98,464
12Jun98,460
15Jun98,479
16Jun98,463
17Jun98,442
18Jun98,457
19Jun98,460
22Jun98,466
23Jun98,464
24Jun98,467
25Jun98,474
26Jun98,500
29Jun98,494
30Jun98,488
01Jul98,484
02Jul98,487
03Jul98,487
06Jul98,505
07Jul98,486
08Jul98,472
09Jul98,483
10Jul98,467
13Jul98,456
14Jul98,442
15Jul98,444
16Jul98,439
17Jul98,430
20Jul98,428
21Jul98,437
22Jul98,442
23Jul98,452
24Jul98,455
27Jul98,459
28Jul98,456
29Jul98,454
30Jul98,460
31Jul98,457
03Ago98,477
04Ago98,485
05Ago98,493
06Ago98,495
07Ago98,553
10Ago98,604
11Ago98,618
12Ago98,629
13Ago98,583
14Ago98,577
17Ago98,631
18Ago98,622
