fecha,cetes_28
2006-09-19,7.05
2006-09-26,7.05
2006-10-03,7.05
2006-10-10,7.06
2006-10-17,7.05
2006-10-24,7.04
2006-10-30,7.04
2006-11-07,7.04
2006-11-14,7.04
2006-11-21,7.04
2006-11-28,7.05
2006-12-05,7.04
2006-12-11,7.03
2006-12-19,7.05
2006-12-26,7.02
2007-01-02,7.01
2007-01-09,7.02
2007-01-16,7.05
2007-01-23,7.06
2007-01-30,7.05
2007-02-06,7.05
2007-02-13,7.03
2007-02-20,7.03
2007-02-27,7.05
2007-03-06,7.05
2007-03-13,7.05
2007-03-20,7.04
2007-03-27,7.03
2007-04-02,7.02
2007-04-10,7.0
2007-04-17,7.0
2007-04-24,7.0
2007-04-30,7.25
2007-05-08,7.24
2007-05-15,7.23
2007-05-22,7.24
2007-05-29,7.22
2007-06-05,7.21
2007-06-12,7.2
2007-06-19,7.18
2007-06-26,7.19
2007-07-03,7.18
2007-07-10,7.18
2007-07-17,7.19
2007-07-24,7.19
2007-07-31,7.19
2007-08-07,7.19
2007-08-14,7.21
2007-08-21,7.2
2007-08-28,7.23
2007-09-04,7.21
2007-09-11,7.2
2007-09-18,7.22
2007-09-25,7.19
2007-10-02,7.19
2007-10-09,7.21
2007-10-16,7.2
2007-10-23,7.2
2007-10-30,7.45
2007-11-06,7.43
2007-11-13,7.41
2007-11-20,7.46
2007-11-27,7.44
2007-12-04,7.44
2007-12-10,7.43
2007-12-18,7.44
2007-12-24,7.44
2007-12-31,7.43
2008-01-08,7.42
2008-01-15,7.41
2008-01-22,7.39
2008-01-29,7.43
2008-02-05,7.42
2008-02-12,7.44
2008-02-19,7.43
2008-02-26,7.42
2008-03-04,7.42
2008-03-11,7.45
2008-03-14,7.43
2008-03-25,7.43
2008-04-01,7.44
2008-04-08,7.46
2008-04-15,7.44
2008-04-22,7.44
2008-04-28,7.43
2008-05-06,7.43
2008-05-13,7.44
2008-05-20,7.44
2008-05-27,7.44
2008-06-03,7.45
2008-06-10,7.47
2008-06-17,7.56
